Callsign,Station Name,State,City,Postcode,Community of Interest,Suitability for Love Banana,Music Receptive,Submission Method,Contact Email,Website / Portal URL,Recommended Action,Notes
4PIB,4PIB,QLD,PALM ISLAND,4816,Indigenous,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@pcyc.org.au,http://www.pcyc.org.au/palmisland,Pitch directly to Music Department (info@pcyc.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for PALM ISLAND QLD.
4RFM,4RFM Moranbah Community Radio,QLD,MORANBAH,4744,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@4rfm.com.au,http://4rfm.com.au/,Pitch directly to Music Department (info@4rfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MORANBAH QLD.
4RR,4RR,QLD,CHARLEVILLE,4470,Indigenous,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@4rr.com.au,http://www.4rr.com.au,Pitch directly to Music Department (info@4rr.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for CHARLEVILLE QLD.
4US,4US,QLD,ROCKHAMPTON,4700,Indigenous,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@4us.com.au,http://www.4us.com.au/,Pitch directly to Music Department (info@4us.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for ROCKHAMPTON QLD.
4ACR,4mw1260 am Thursday Island,QLD,THURSDAY ISLAND,4875,Torres Strait Islanders,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@qram.com.au,http://www.qram.com.au,Pitch directly to Music Department (info@qram.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for CAIRNS NORTH QLD.
4GEM,95.1 GEM FM,QLD,BOWEN,4805,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@951gemfm.org,https://www.951gemfm.org/,Pitch directly to Music Department (info@951gemfm.org),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BOWEN QLD.
4BAY,Bay FM,QLD,CLEVELAND,4163,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@bayfm.org.au,http://www.bayfm.org.au,Pitch directly to Music Department (info@bayfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CLEVELAND QLD.
4ACR,Black Star Radio,QLD,CAIRNS NORTH,4870,Indigenous,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@qram.com.au,http://www.qram.com.au,Pitch directly to Music Department (info@qram.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for CAIRNS NORTH QLD.
4CIM,Bumma Bippera Media 98.7FM,QLD,BUNGALOW,4870,Indigenous,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@bbm987.com.au,https://bbm987.com.au/,Pitch directly to Music Department (info@bbm987.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for BUNGALOW QLD.
4BRR,Burnett River Radio,QLD,GAYNDAH,4625,General,Regional Community Radio (General Music / Aussie Rock),Yes,Email or Amrap,,https://www.facebook.com/BRR91.5fm/,Pitch via Email or Amrap (Local volunteer DJs play Aussie indie),Format: General. Community broadcaster for GAYNDAH QLD.
4CSB,CROW FM,QLD,WONDAI,4606,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@crowfm.com.au,http://www.crowfm.com.au,Pitch directly to Music Department (info@crowfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for WONDAI QLD.
,Cherbourg Radio,QLD,Cherbourg,4605,Indigenous,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@cherbourg.qld.gov.au,https://cherbourg.qld.gov.au/community/cherbourg-radio/,Pitch directly to Music Department (info@cherbourg.qld.gov.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for Cherbourg QLD.
4BCR,Coral Coast Community Radio 94.7 FM,QLD,BUNDABERG SOUTH,4670,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@coralcoastradio.net.au,http://www.coralcoastradio.net.au,Pitch directly to Music Department (info@coralcoastradio.net.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BUNDABERG SOUTH QLD.
,Douglas FM,QLD,Port Douglas,4877,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@douglasfm.au,https://www.douglasfm.au/,Pitch directly to Music Department (info@douglasfm.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Port Douglas QLD.
4NAG,KeppelFM 91.3,QLD,YEPPOON,4703,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@keppelfm.org.au,http://keppelfm.org.au/,Pitch directly to Music Department (info@keppelfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for YEPPOON QLD.
4MUR,My105.9FM,QLD,MACKAY,4740,Indigenous,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@my105fm.com.au,https://my105fm.com.au/,Pitch directly to Music Department (info@my105fm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for MACKAY QLD.
Online Only,Phoenix Radio,QLD,RACEVIEW,4305,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@phoenixradi2.wixsite.com,https://phoenixradi2.wixsite.com/phoenixradio/home,Pitch directly to Music Department (info@phoenixradi2.wixsite.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for RACEVIEW QLD.
4YOU,Radio 4YOU,QLD,WANDAL,4700,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@4you.org.au,http://www.4you.org.au/,Pitch directly to Music Department (info@4you.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for WANDAL QLD.
4CBL,Radio Logan 101 FM,QLD,LOGAN CITY DC,4114,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@101fm.com.au,https://101fm.com.au/,Pitch directly to Music Department (info@101fm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for LOGAN CITY DC QLD.
4RIM,Rim FM 100.1,QLD,BOONAH,4310,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@rimfm.org,http://www.rimfm.org/,Pitch directly to Music Department (info@rimfm.org),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BOONAH QLD.
4SDB,Rose City FM,QLD,WARWICK,4370,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@rosecityfm.org.au,https://rosecityfm.org.au/,Pitch directly to Music Department (info@rosecityfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for WARWICK QLD.
,Tiaro Community Radio 107.1 FM,QLD,TIARO,4650,General,Regional Community Radio (General Music / Aussie Rock),Yes,Email or Amrap,,https://www.facebook.com/groups/195977457678710/,Pitch via Email or Amrap (Local volunteer DJs play Aussie indie),Format: General. Community broadcaster for TIARO QLD.
4AAA,Triple A,QLD,WEST END,4101,Indigenous,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@triplea.org.au,https://triplea.org.au/,Pitch directly to Music Department (info@triplea.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for WEST END QLD.
4DDD,Western Downs Region Radio,QLD,DALBY,4405,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@radio4ddd.com.au,http://www.radio4ddd.com.au/,Pitch directly to Music Department (info@radio4ddd.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for DALBY QLD.
4WHO,Wild Horse FM,QLD,YARRAMAN,4614,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@wildhorsefm.com,http://www.wildhorsefm.com/,Pitch directly to Music Department (info@wildhorsefm.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for YARRAMAN QLD.
5ZZZ,5 Triple Z,SA,MCLAREN VALE,5171,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@5triplez.com.au,http://5triplez.com.au/,Pitch directly to Music Department (info@5triplez.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MCLAREN VALE SA.
5CCR,5CCR FM,SA,CEDUNA,5690,General,Regional Community Radio (General Music / Aussie Rock),Yes,Email or Amrap,,,Pitch via Email or Amrap (Local volunteer DJs play Aussie indie),Format: General. Community broadcaster for CEDUNA SA.
5GTR,5GTR,SA,MOUNT GAMBIER,5290,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@5gtr.net,http://www.5gtr.net,Pitch directly to Music Department (info@5gtr.net),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MOUNT GAMBIER SA.
5KIX,5KIX-FM,SA,KINGSCOTE,5223,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@5kixfm.org,http://www.5kixfm.org,Pitch directly to Music Department (info@5kixfm.org),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KINGSCOTE SA.
5PBS,5PBS,SA,Peterborough,5422,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@5pbs.org.au,http://5pbs.org.au,Pitch directly to Music Department (info@5pbs.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Peterborough SA.
5THE,5THE FM,SA,MILLICENT,5280,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@5-thefm.org,https://www.5-thefm.org/,Pitch directly to Music Department (info@5-thefm.org),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MILLICENT SA.
5GFM,89.3 Gulf FM,SA,KADINA,5554,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@gulffm.com.au,http://www.gulffm.com.au/,Pitch directly to Music Department (info@gulffm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KADINA SA.
5GSFM,90.1 HAPPY FM,SA,VICTOR HARBOR,5211,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@happyfm.org.au,http://www.happyfm.org.au,Pitch directly to Music Department (info@happyfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for VICTOR HARBOR SA.
5ALX,Alex FM Radio Goolwa,SA,GOOLWA,5214,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@alexfm.com.au,https://www.alexfm.com.au/,Pitch directly to Music Department (info@alexfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GOOLWA SA.
5DUS,Dusty Radio,SA,COOBER PEDY,5723,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@dustyradio.com.au,http://www.dustyradio.com.au,Pitch directly to Music Department (info@dustyradio.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for COOBER PEDY SA.
5EFM,Fleurieu FM,SA,VICTOR HARBOR,5211,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@fleurieufm.org.au,http://www.fleurieufm.org.au,Pitch directly to Music Department (info@fleurieufm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for VICTOR HARBOR SA.
5ROX,ROX FM,SA,ROXBY DOWNS,5725,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@roxfm.com.au,http://www.roxfm.com.au,Pitch directly to Music Department (info@roxfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for ROXBY DOWNS SA.
,Rocket Range Radio,SA,Mount Barker,5751,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@rocketrangeradio.au,https://rocketrangeradio.au,Pitch directly to Music Department (info@rocketrangeradio.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Mount Barker SA.
5TRX,TRAX FM,SA,PORT PIRIE,5540,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@traxfm.org.au,https://www.traxfm.org.au/,Pitch directly to Music Department (info@traxfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for PORT PIRIE SA.
5BBB,Triple B FM,SA,TANUNDA,5352,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@bbbfm.com,http://www.bbbfm.com,Pitch directly to Music Department (info@bbbfm.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for TANUNDA SA.
5YYY,Triple Y,SA,WHYALLA NORRIE,5608,General,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@tripley.com.au,https://tripley.com.au/,Pitch directly to Music Department (info@tripley.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for WHYALLA NORRIE SA.
5UMA,Umeewarra Radio,SA,PORT AUGUSTA,5700,Indigenous,High Priority (Regional Community (SA)),Yes (Direct Email),Direct Email Pitch,info@umeewarramedia.com,http://www.umeewarramedia.com,Pitch directly to Music Department (info@umeewarramedia.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for PORT AUGUSTA SA.
7MID,97.1FM The Voice of the Midlands,TAS,OATLANDS,7120,General,High Priority (Regional Community (TAS)),Yes (Direct Email),Direct Email Pitch,info@7midfm.com.au,https://7midfm.com.au/,Pitch directly to Music Department (info@7midfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for OATLANDS TAS.
7RGY,HUON AND KINGSTON FM COMMUNITY RADIO,TAS,GEEVESTON,7116,General,High Priority (Regional Community (TAS)),Yes (Direct Email),Direct Email Pitch,info@huonfm.com,http://www.huonfm.com,Pitch directly to Music Department (info@huonfm.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GEEVESTON TAS.
,King Island Radio 100.5FM,TAS,CURRIE,7256,General,High Priority (Regional Community (TAS)),Yes (Direct Email),Direct Email Pitch,info@kingislandradio.com,http://www.kingislandradio.com,Pitch directly to Music Department (info@kingislandradio.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CURRIE TAS.
,Meander Valley FM,TAS,DELORAINE,7304,General,High Priority (Regional Community (TAS)),Yes (Direct Email),Direct Email Pitch,info@mvfm.com.au,https://mvfm.com.au/,Pitch directly to Music Department (info@mvfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for DELORAINE TAS.
7BOD,Star FM,TAS,ST HELENS,7216,General,High Priority (Regional Community (TAS)),Yes (Direct Email),Direct Email Pitch,info@starfm.org.au,http://www.starfm.org.au,Pitch directly to Music Department (info@starfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for ST HELENS TAS.
7TFM,Tamar FM 95.3,TAS,GEORGE TOWN,7253,General,High Priority (Regional Community (TAS)),Yes (Direct Email),Direct Email Pitch,info@tamarfm.net,http://www.tamarfm.net,Pitch directly to Music Department (info@tamarfm.net),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GEORGE TOWN TAS.
7TAS,Tasman FM,TAS,NUBEENA,7184,General,High Priority (Regional Community (TAS)),Yes (Direct Email),Direct Email Pitch,info@tasmanfm.com.au,http://www.tasmanfm.com.au/,Pitch directly to Music Department (info@tasmanfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for NUBEENA TAS.
7TYG,Tyga FM,TAS,NEW NORFOLK,7140,General,High Priority (Regional Community (TAS)),Yes (Direct Email),Direct Email Pitch,info@tygafm.org.au,http://www.tygafm.org.au/,Pitch directly to Music Department (info@tygafm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for NEW NORFOLK TAS.
3HCR,3HCR - High Country Radio,VIC,OMEO,3898,General,Regional Community Radio (General Music / Aussie Rock),Yes,Email or Amrap,,,Pitch via Email or Amrap (Local volunteer DJs play Aussie indie),Format: General. Community broadcaster for OMEO VIC.
3KND,3KND Kool N Deadly,VIC,PRESTON,3072,Indigenous,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@3knd.org.au,http://www.3knd.org.au,Pitch directly to Music Department (info@3knd.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for PRESTON VIC.
3MBR,3MBR FM Mallee Border Radio,VIC,MURRAYVILLE,3512,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@3mbrfm.org.au,http://www.3mbrfm.org.au,Pitch directly to Music Department (info@3mbrfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MURRAYVILLE VIC.
3MGB,3MGB,VIC,MALLACOOTA,3892,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@3mgb.org.au,http://3mgb.org.au/,Pitch directly to Music Department (info@3mgb.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MALLACOOTA VIC.
3RPC,3RPC FM,VIC,PORTLAND,3305,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@3rpcfm.org.au,http://3rpcfm.org.au/,Pitch directly to Music Department (info@3rpcfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for PORTLAND VIC.
3WYN,88.9 WYNFM,VIC,WERRIBEE,3030,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@wynfm.org.au,http://www.wynfm.org.au,Pitch directly to Music Department (info@wynfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for WERRIBEE VIC.
3INR,96.5 InnerFM,VIC,HEIDELBERG,3084,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@innerfm.org.au,http://www.innerfm.org.au,Pitch directly to Music Department (info@innerfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for HEIDELBERG VIC.
3RIM,979 FM,VIC,MELTON,3337,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@979fm.com.au,http://979fm.com.au/,Pitch directly to Music Department (info@979fm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MELTON VIC.
3VKV,Alpine FM,VIC,MOUNT BEAUTY,3699,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@alpinefm.org.au,https://www.alpinefm.org.au/,Pitch directly to Music Department (info@alpinefm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MOUNT BEAUTY VIC.
3APL,Apple 98.5FM,VIC,BACCHUS MARSH,3340,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@apple985fm.com.au,http://apple985fm.com.au/,Pitch directly to Music Department (info@apple985fm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BACCHUS MARSH VIC.
MGV32,C31,VIC,Southbank,3006,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@c31.org.au,http://www.c31.org.au,Pitch directly to Music Department (info@c31.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Southbank VIC.
3GFM,Goldfields FM 99.1,VIC,MARYBOROUGH,3465,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@goldfieldsfm.org.au,https://www.goldfieldsfm.org.au/,Pitch directly to Music Department (info@goldfieldsfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MARYBOROUGH VIC.
3HOT,HOT FM,VIC,MILDURA,3502,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@hotfm.org.au,http://www.hotfm.org.au,Pitch directly to Music Department (info@hotfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MILDURA VIC.
3NOW,North West FM,VIC,HADFIELD,3046,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@northwestfm.org,http://www.northwestfm.org,Pitch directly to Music Department (info@northwestfm.org),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for HADFIELD VIC.
3WPR,OAK FM,VIC,YARRUNGA,3677,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@oakfm.com.au,http://www.oakfm.com.au/,Pitch directly to Music Department (info@oakfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for YARRUNGA VIC.
3OKR,OKRFM,VIC,KILMORE,3764,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@okrfm.com.au,https://okrfm.com.au/shows,Pitch directly to Music Department (info@okrfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KILMORE VIC.
3PVR,Plenty Valley FM 88.6,VIC,MILL PARK,3082,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@pvfm.org.au,http://www.pvfm.org.au,Pitch directly to Music Department (info@pvfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MILL PARK VIC.
3REG,REG-FM,VIC,BAIRNSDALE,3875,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@regfm.com.au,http://www.regfm.com.au/,Pitch directly to Music Department (info@regfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BAIRNSDALE VIC.
3RPP,RPP FM,VIC,MORNINGTON,3931,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@rppfm.com.au,http://www.rppfm.com.au,Pitch directly to Music Department (info@rppfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MORNINGTON VIC.
3GRR,Radio EMFM,VIC,ECHUCA,3564,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@radioemfm.org.au,http://www.radioemfm.org.au,Pitch directly to Music Department (info@radioemfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for ECHUCA VIC.
3ECB,Radio Eastern FM 98.1,VIC,CROYDON,3136,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@radioeasternfm.com.au,https://www.radioeasternfm.com.au/,Pitch directly to Music Department (info@radioeasternfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CROYDON VIC.
3MCR,Radio Mansfield 99.7FM,VIC,MANSFIELD,3724,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@radiomansfield.org.au,http://www.radiomansfield.org.au,Pitch directly to Music Department (info@radiomansfield.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MANSFIELD VIC.
3RUM,Radio Upper Murray,VIC,WALWA,3709,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@radiouppermurray.com.au,https://www.radiouppermurray.com.au/,Pitch directly to Music Department (info@radiouppermurray.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for WALWA VIC.
3SEY,Seymour FM,VIC,SEYMOUR,3660,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@seymourfm.com.au,https://seymourfm.com.au/,Pitch directly to Music Department (info@seymourfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for SEYMOUR VIC.
3SFM,Smart FM 99.1,VIC,SWAN HILL,3585,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@991smartfm.com.au,http://www.991smartfm.com.au/,Pitch directly to Music Department (info@991smartfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for SWAN HILL VIC.
3NRG,Sunbury Radio 99.3FM,VIC,SUNBURY,3429,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@sunburyradio.com.au,http://www.sunburyradio.com.au,Pitch directly to Music Department (info@sunburyradio.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for SUNBURY VIC.
3HHH,Triple H 96.5 FM,VIC,HORSHAM,3402,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@tripleh965fm.org.au,http://www.tripleh965fm.org.au,Pitch directly to Music Department (info@tripleh965fm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for HORSHAM VIC.
3UGE,UGFM - Radio Murrindindi,VIC,ALEXANDRA,3714,General,High Priority (Regional Community (VIC)),Yes (Direct Email),Direct Email Pitch,info@ugfm.org,http://www.ugfm.org/,Pitch directly to Music Department (info@ugfm.org),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for ALEXANDRA VIC.
6AUG,2oceansFM,WA,AUGUSTA,6290,General,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@2oceansfm.com.au,http://www.2oceansfm.com.au,Pitch directly to Music Department (info@2oceansfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for AUGUSTA WA.
6CKI,6CKI,WA,WEST ISLAND COCOS (KEELING) ISLANDS,6799,General,Regional Community Radio (General Music / Aussie Rock),Yes,Email or Amrap,,https://www.facebook.com/6CKIRADIO/,Pitch via Email or Amrap (Local volunteer DJs play Aussie indie),Format: General. Community broadcaster for WEST ISLAND COCOS (KEELING) ISLANDS WA.
6DBY,6DBY FM,WA,DERBY,6728,Indigenous,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@6dby.com.au,http://www.6dby.com.au,Pitch directly to Music Department (info@6dby.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for DERBY WA.
6NEW,6NEW 92.9 Community Radio Newman,WA,NEWMAN,6753,General,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@sites.google.com,https://sites.google.com/view/6new,Pitch directly to Music Department (info@sites.google.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for NEWMAN WA.
